metric,value
reps.L_elbow,8
reps.R_elbow,8
reps.L_shoulder,0
reps.R_shoulder,0
ROM.L_elbow,"(4.895447897411321, 105.98619407243066)"
ROM.R_elbow,"(34.86437060087582, 51.172910537599634)"
ROM.L_shoulder,"(17.280970330729353, 36.079674373009006)"
ROM.R_shoulder,"(2.878317493070985, 35.36921997270954)"
jerk.Left,2.8541306126033557
jerk.Right,9.89377001538688
sparc.Left,-22.62537092447422
sparc.Right,-59.048828504115015
class_counts.L_elbow.flexion,1873
class_counts.L_elbow.extension,82
class_counts.R_elbow.flexion,1928
class_counts.R_elbow.extension,24
class_counts.L_shoulder.abduction,0
class_counts.L_shoulder.adduction,29
class_counts.R_shoulder.abduction,0
class_counts.R_shoulder.adduction,30
